Название,Вымышленный автор,Автор,Редкость,Тип,Архетип,Общение,Интеллект,Самоотверженность,Здоровье,Способности,Структура,Особенности,Передвижение,Форма тела,Размер тела,Положение тела,Оружие,URL в игре,Текст
Беркут,нет,Александр и Елена,необычный спутник,животные,воин,жестовое,инстинкты,храбрый,300,"острый глаз,едок,летающий,самостоятельный",живая плоть,"крылья: пернатые,глаза: жёлтые",парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: ближе к физике),https://the-tale.org/guide/companions/122,"
> Беркут, легко обучаемый и красивый, очень популярен среди многих путешественников. Заметив с высоты своего полёта возможную опасность: будь то голодный хищник или поднявшийся мертвяк, злобный монстр или притаившийся разбойник, птица предупредит о ней своего друга-спутника, кружа над врагом.

"
Бывший советник,нет,Александр и Елена,необычный спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,нерешительный,300,"едок,неповоротливый,личные вещи,очень редкий,известный,торгаш,боец",живая плоть,"одежда: хорошо,торс: хилый",2 ноги,гуманоидное,средний,горизонтальное,кинжал (урон: колющий / режущий; материал: металл; тип силы: равновесие),https://the-tale.org/guide/companions/134,"
> Если что-то пошло не так в карьере политика, то последствия могут быть весьма и весьма серьезными. Если советника исключают из Совета, зачастую это может означать изгнание из города или... смерть: наёмный убийца – надёжный способ заставить молчать того, кто слишком много знает. Поэтому для бывшего советника, порой, единственным спасением становится путешествие с героем-бродягой.

"
Кентаврид,нет,Александр и Елена,легендарный спутник,чудовища,воин,"вербальное,жестовое",низкий,нерешительный,500,"упрямый,миролюбивый,прожорливый,очень редкий,вьючный,очаровательный,быстроногий,острый глаз,таран,самостоятельный,стремительный",живая плоть,"шерсть: короткая,хвост,торс: мощный",4 копыта,лошадиное,большой,горизонтальное,"копыто (урон: ударный; материал: роговое образование; тип силы: физическая),копьё (урон: колющий / ударный; материал: кость; тип силы: ближе к физике)",https://the-tale.org/guide/companions/175,"
> Кентавриды — подвид одного из наиболее миролюбивого дикого народа: кентавров. Они также ведут кочевой образ жизни, но проявляют больший интерес к цивилизации и иногда показываются близ селений.  
> Кентавриды в полтора раза меньше своих сородичей кентавров, и ростом с пони. Они внушают умиление мягкими переливами меха и большими, выразительными глазами. Несмотря на относительно небольшие размеры и внешнюю безобидность, кентавриды сильные, способные постоять за себя создания.

"
Бродячий лекарь,нет,Александр и Елена,обычный спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,смелый,300,"честный,миролюбивый,личные вещи,лекарь,едок,самостоятельный,известный",живая плоть,"торс: хилый,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: равновесие),https://the-tale.org/guide/companions/94,"
> Профессия врача заслуживает всяческого уважения, но те лекари, которые добираются до самых дальних поселений, чтобы оказать помощь больным – настоящие герои. Все наслышаны об опасностях пандорских трактов. Одинокий лекарь, вышедший на тракт без оружия и навыков боя – смертник. Только благодаря ходоку он сможет вовремя дойти до страждущего и, возможно, спасти жизнь.

"
Мудрёный леопард,нет,Александр и Елена,редкий спутник,конструкты,воин,жестовое,рефлексы,нерешительный,500,"боец,сложный,громила",металл,"худой,зубы: клыки,хвост",4 лапы,кошачье,средний,горизонтальное,"когти (урон: рвущий; материал: металл; тип силы: физическая),клыки (урон: кусательный; материал: металл; тип силы: физическая)",https://the-tale.org/guide/companions/24,"
> Яркий пример того, как конструкт “не получился”. Создатели этого тяжёлого металлического хищника наверняка хотели достичь совершенно иного результата, но, как говорится, перемудрили. В итоге получился крепкий, мощный, но очень сложный в управлении и ремонте конструкт-охранник. Впрочем, производитель готов продавать своё творение по весьма сходной цене.

"
Туманный волк,нет,Александр и Елена,редкий спутник,стихийные существа,маг,жестовое,инстинкты,храбрый,600,"строптивый,подлый,агрессивный,поклонник,боец,регенерация,воодушевление",энергия,"худой,тело: светится,зубы: клыки,глаза: жёлтые,глаза: светятся,хвост",4 лапы,собачье,средний,горизонтальное,клыки (урон: кусательный; материал: экзотика; тип силы: ближе к магии),https://the-tale.org/guide/companions/16,"
> Посланник из мира Хранителей. Весьма своенравное создание, будто сотканное из тумана, чуть светящегося во тьме. Быстрый, колдовской, с горящими жёлтыми глазами туманный волк вызывает уважение к своему обладателю.

"
Капеллан,нет,Александр и Елена,легендарный спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,храбрый,400,"упрямый,едок,ловкий,боец,очень редкий,поклонник,известный,острый глаз,экзорцист,поджигатель,воодушевление",живая плоть,одежда: хорошо,2 ноги,гуманоидное,средний,вертикальное,"арбалет (урон: стрелковый колющий; материал: дерево; тип силы: ближе к физике),меч (урон: колющий / рубящий; материал: металл; тип силы: физическая)",https://the-tale.org/guide/companions/177,"
> Они — гончие псы. Каждый из них служит Богам, но наравне с Богами они ставят лишь одно: ненависть к демонам и их приспешникам, демонопоклонникам. Каждый из них — фанатик, но имеет острый, прозорливый ум. И они, не зная покоя, день и ночь ищут нечестивых культистов, чтобы предать суду. Капелланы. Мастера расследования, мастера дознания — и, по необходимости, бойцы и экзорцисты.  
>   
> О них ходят слухи, иногда добрые, иногда дурные — капелланы всегда в центре внимания. Об обнаруженных ими еретиках, об изгнанных ими демонах рассказывают немногим меньше, чем о подвигах героев. Хотя бы потому, что каждый капеллан — простой смертный.  
>   
> Обычно они имеют светскую должность дознавателя или следователя в страже, а то и вовсе состоят в Совете города. Однако те из них, кто не смог занять подобную должность, нередко странствуют по миру вместе с героями — ведь кто, как не Хранители и избранные ими герои, является главным врагом демонов в этом мире, и кто, как не герои, чаще всего встречает их и тех, кто им служит, на своём пути?

"
Грифон,нет,Александр и Елена,легендарный спутник,животные,авантюрист,жестовое,низкий,храбрый,500,"строптивый,честный,прожорливый,очень редкий,ездовой летун,летающий,острый глаз,вьючный,громила,воодушевление",живая плоть,"шерсть: короткая,крылья: пернатые,красивый,глаза: жёлтые,хвост",парит над землёй,кошачье,большой,горизонтальное,"клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: равновесие),когти (урон: рвущий; материал: роговое образование; тип силы: ближе к физике)",https://the-tale.org/guide/companions/178,"
> Грифоны не менее загадочны, чем пегасы. Эти величественные обитатели диких земель, грозные летающие хищники редко встречаются в этом мире.  
>   
> Быстрые и проворные животные, наполовину птицы, наполовину львы. Существа с головой орла, львиным телом и широкими крыльями, часто изображаемые на рыцарских гербах, таят в себе опасность: мощный клюв и огромные когти не оставят добыче или врагу ни единого шанса. От острого взгляда грифона не утаится никто.  
>   
> Приручить такого спутника практически невозможно, его строптивый характер и гордость несгибаемы. Но иногда грифоны становятся верными товарищами героев. Говорят, только того, кто благороден и силён духом, грифон может признать равным себе. Несмотря на свой гордый нрав, изредка они позволяют героям оседлать себя и взмыть в небеса.

"
Орёл-посланник,нет,Александр и Елена,легендарный спутник,стихийные существа,маг,"жестовое,телепатическое",инстинкты,нерешительный,700,"исполнительный,честный,сдержанный,связной,летающий,острый глаз,боец",энергия,"крылья: пернатые,худой",парит над землёй,птичье,маленький,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: равновесие),https://the-tale.org/guide/companions/59,"
> Орлы слишком горды, чтобы поддаваться приручению, но милостивые Хранители порой посылают их духовные воплощения в помощь смертным. Главное достоинство этих волшебных птиц, конечно же, зрение: с высоты своего подоблачного полёта орёл-посланник всегда вовремя заметит опасность и сможет предупредить о ней хозяина.

"
Старый слуга,нет,Александр и Елена,необычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,храбрый,300,"исполнительный,миролюбивый,неуклюжий,едок,вьючный,редкий,тщедушный,поклонник,мудрый,воодушевление,бодрость духа",живая плоть,"худой,борода: средняя,торс: хилый",2 ноги,гуманоидное,средний,вертикальное,кинжал (урон: колющий / режущий; материал: металл; тип силы: равновесие),https://the-tale.org/guide/companions/129,"
> Мир суров и жизнь зачастую несправедлива. Некоторые хозяева готовы выкинуть на улицу слугу проработавшего верой и правдой до старости. Таким бедолагам приходится трудно, ведь порой они не обучены ничему, кроме преданности. Но в то же время немало и тех, кто готов сполна оценить помощь старого слуги, и бродяги-герои из них.

"
Энергетический коршун,нет,Александр и Елена,эпический спутник,стихийные существа,маг,жестовое,инстинкты,смелый,300,"подлый,миролюбивый,связной,летающий,бодрость духа",энергия,"крылья: пернатые,худой,красивый",парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: экзотика; тип силы: магическая),https://the-tale.org/guide/companions/62,"
> Сотканный из магической энергии коршун лишён плоти, а потому куда более живуч, чем обычная птица. Разрушить колдовские связи, дающие жизнь этому созданию, весьма сложно. Энергетический коршун прекрасный помощник в пути, но, к сожалению, довольно редкий.

"
Воин-наёмник,нет,Александр и Елена,необычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,храбрый,400,"агрессивный,прожорливый,ловкий,боец,вьючный,пьяница,громила",живая плоть,"торс: мощный,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,копьё (урон: колющий / ударный; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/8,"
> В Пандоре много наёмников. Среди них встречаются как новички, так и матёрые ветераны. Последних, конечно же, немного и все они, за редким исключением, состоят на уважаемой службе: охраняют советников, поддерживают безопасность на трактах. Но порой всё же можно увидеть настоящего воина-наёмника в компании с героем-ходоком. Эти бродяги иногда тоже готовы платить за помощь.

"
Феечка,нет,Александр и Елена,легендарный спутник,стихийные существа,маг,"вербальное,жестовое,телепатическое",нормальный,храбрый,300,"не жилец,милый,мудрый,лекарь,сан,воодушевление,телепортатор,связной",живая плоть,"худой,глаза: зелёные,торс: хилый,крылья: бабочки,красивый,глаза: светятся",парит над землёй,гуманоидное,крохотный,вертикальное,касание энергетическое (урон: энергетический; материал: экзотика; тип силы: магическая),https://the-tale.org/guide/companions/51,"
> Одно из самых удивительных созданий на свете – фея, миниатюрная эльфка в две ладони ростом и с яркими крылышками бабочки за спиной. В сказках феечки очень добрые создания, но в жизни всё иначе: они, как правило, флегматичны и не испытывают к остальным существам ярких чувств, ни положительных, ни отрицательных, любят только волшебные цветы аппомы, в бутонах которых живут. Однако, иногда феи находят что-то привлекательное для себя в тех, кому покровительствуют Духи-хранители, таких героев можно назвать счастливчиками.

"
Чёрный варан,нет,Александр и Елена,обычный спутник,хладнокровные гады,авантюрист,жестовое,рефлексы,нерешительный,400,"медлительный,отравитель,едок,пожиратель,боец,самостоятельный",живая плоть,"кожа: морщинистая,кожа: тёмная,глаза: жёлтые,запах: падаль,хвост",4 лапы,ящериное,маленький,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),https://the-tale.org/guide/companions/57,"
> Этот большой ящер не слишком послушен из-за своего невысокого интеллекта, но обладает острыми зубами и быстрой реакцией. Укус чёрного варана зачастую ядовит, ведь наибольшая часть его рациона – падаль. Стоит отметить изумительный цвет шкуры этой рептилии, который любят очень многие герои-ходоки и прочие искатели приключений.

"
Боевой конь,нет,Александр и Елена,необычный спутник,животные,воин,жестовое,инстинкты,храбрый,600,"агрессивный,ездовой,едок,вьючный,боец,телохранитель",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/96,"
> Лошади, обученные нападению – большая редкость. Страшные укусы мощных челюстей способны вырывать из тел противников куски плоти, а огромные копыта боевых коней могут дробить кости врагов, словно хворост. Такие скакуны пользуются большим спросом, в свободной продаже их невозможно найти: мастера-дрессировщики работают над ними только на заказ.

"
Стальная лиса,нет,Александр и Елена,необычный спутник,конструкты,воин,жестовое,рефлексы,смелый,400,"ловкий,вьючный,телохранитель,боец",металл,"худой,глаза: светятся",4 лапы,собачье,маленький,горизонтальное,клыки (урон: кусательный; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/15,"
> Один из самых популярных и элегантных конструктов. Весьма удобен в эксплуатации, с ним редко возникают проблемы технического характера, но это не самый сильный помощник в бою. Стальную лису редко можно встретить в продаже – их изготавливают лучшие магомеханики и только на заказ.

"
Сорванец,нет,Александр и Елена,обычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,нерешительный,300,"строптивый,себе на уме,нелюдимый,грабитель,едок,вьючный",живая плоть,"худой,торс: хилый,одежда: плохо",2 ноги,гуманоидное,маленький,вертикальное,нож (урон: колющий / режущий; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/131,"
> В мире полно беспризорных детей. Это, безусловно, печально, но именно из них, злых и голодных сорванцов, иногда вырастают герои Пандоры, знаменитые учёные, великие воины. Довольно часто, видя в них себя в детстве, сорванцам помогают ходоки: берут с собой в странствия, какое-то время учат, кормят и одевают воспитанников беспристрастной и беспощадной улицы.

"
Астральная пантера,нет,Александр и Елена,легендарный спутник,стихийные существа,авантюрист,жестовое,инстинкты,нерешительный,600,"исполнительный,честный,агрессивный,поклонник,громила,регенерация,прилив сил,таран",энергия,"глаза: чёрные (без белков),зубы: клыки,хвост,красивый",4 лапы,кошачье,большой,горизонтальное,"когти (урон: рвущий; материал: экзотика; тип силы: ближе к магии),клыки (урон: кусательный; материал: экзотика; тип силы: ближе к магии)",https://the-tale.org/guide/companions/29,"
> Прозрачно-чёрная, словно вылитая из дорогого стекла; стремительная, но неторопливая; агрессивная, но полностью послушная – астральная пантера грациозна и великолепна, она истинный дар Хранителя своему подопечному. Этот благородный волшебный зверь – прекрасный и верный спутник героя.

"
Деревенский кузнец,нет,Александр и Елена,легендарный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,смелый,400,"боец,едок,пьяница,особый,вьючный,громила",живая плоть,"торс: мощный,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,молот (урон: ударный; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/1,"
> Деревенские – народ крепкий, а уж кузнецы и подавно. Крепкие, сухие, выносливые мастера скобяных дел, если их разозлить, могут быть весьма опасны. Удар кузнечного молота, на наковальне правящий металл, с телом врага способен сотворить чистое месиво. К тому же, не стоит забывать, что некоторые кузнецы делают оружие и порой неплохо этим оружием владеют.

"
Ручной гризли,нет,Александр и Елена,редкий спутник,животные,воин,жестовое,инстинкты,храбрый,600,"себе на уме,миролюбивый,прожорливый,боец,милый,пожиратель,громила",живая плоть,"торс: мощный,зубы: клыки,шерсть: жёсткая,шерсть: средней длины",4 лапы,медвежье,большой,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: физическая),клыки (урон: кусательный; материал: зуб; тип силы: физическая)",https://the-tale.org/guide/companions/114,"
> Дрессированный медведь гризли часто встречается в компании бродячих артистов. Зрители любят этого мохнатого, добродушного и неповоротливого с виду зверя и готовы платить звонкую монету за смешные трюки, которым он легко обучается. Но не стоит забывать, что, как и всякий медведь, гризли очень опасен, если его разозлить.

"
Камнерук,нет,Александр и Елена,необычный спутник,конструкты,воин,жестовое,рефлексы,доблестный,600,"грузовой,громила",дерево,толстый,ездит на колёсах,бочкообразное,средний,вертикальное,кулак (урон: ударный; материал: камень; тип силы: физическая),https://the-tale.org/guide/companions/166,"
> Гордость дварфов-изобретателей – камнерук. Громкое и гордое название говорит за себя: у конструкта каменные руки. Этот волшебный помощник высокой прочности способен без устали перевозить багаж хозяина, неспешно катясь на окованных деревянных колёсах и поскрипывая деревянным же решётчатым корпусом.

"
